id	filename	md5	size	state
00d7bab3-386e-413a-a3be-e1ec312b1754	TCGA-56-8503-01Z-00-DX1.87FEB654-FC88-4CDA-8F52-ACF0D9A19191.svs	4c6b87ffd16354db5295cf3d03d00f40	243455990	validated
01a0a249-0ff2-492f-bab7-20121922906b	TCGA-77-8138-01Z-00-DX1.fac6dcf9-7367-4345-a764-38e5471763c0.svs	ef9300795780514be4493bef3bf9e01c	1425469791	validated
028c2af5-9ab1-4822-ae45-2fd870c91879	TCGA-98-A53H-01Z-00-DX1.B05E6339-440C-4F2E-95B5-F2C96413D488.svs	f8c817e304b54a2b30024f67b0a480fb	317381609	validated
0328b5b6-47be-44d5-bb9a-872637562bc5	TCGA-43-A56V-01Z-00-DX1.AA93FE03-FA7D-42C4-A118-B98C2400D9DA.svs	7131159f19e0ba43fd18c7d0622095be	406768921	validated
033ca180-8ae6-4219-9978-29c828ea3ac3	TCGA-56-A49D-01Z-00-DX1.1ECF40A0-1490-42B3-8924-A80E4ED35F93.svs	ab4e0b8d3f9d7c88b7104026f6a86590	897016580	validated
0439d959-547f-4299-a962-c659dc88f216	TCGA-66-2771-01Z-00-DX1.b84a28ec-2726-4386-9445-0f5ca351d985.svs	eb6059f96fa8b9ef790948a160fd739b	265382941	validated
05300e28-4efa-4a3e-87af-7b85df349ac0	TCGA-85-A4PA-01Z-00-DX1.00AF818F-39BA-4EA7-8873-9B6C4F2D2141.svs	30575245267779fab50f6e4550724cda	1155593149	validated
05c2e15a-124e-46b6-9d53-984c6be2e90b	TCGA-68-A59J-01Z-00-DX1.B143855E-2B30-4562-B809-68AA723F5BD9.svs	6166593a1bd22db861cdc7fd605b43a5	2044882214	validated
08d66526-25a7-43d0-88c4-053c8d9a9261	TCGA-46-3769-01Z-00-DX1.97260244-fe08-42da-b5db-80da7f7d8766.svs	6d0c1ae0b2f5b867aff31113f8d9f74b	834189739	validated
093cd40c-09d4-4d21-b97c-84be9327f3fd	TCGA-33-4583-01Z-00-DX3.f802363d-0e77-450e-bf45-928629c66e23.svs	5faf4669650647bd868884af94af0eab	1429317847	validated
0a4f10c3-3cfa-4140-a332-7ae9c4e25f68	TCGA-18-4083-01Z-00-DX1.337D4583-326F-4108-9441-DC74FAED6AE2.svs	dd08cc479d5a242a4c9b3070d627fb0e	718877396	validated
0a780b0b-fce9-4999-92ba-a8b277578a1d	TCGA-60-2724-01Z-00-DX1.98f9e48f-9c09-4969-aa34-05666616ee9a.svs	72a0b4292280076ec8cdc886f9396849	838644743	validated
0c7ae174-ea13-4999-bd7b-002d329e60ea	TCGA-92-8064-01Z-00-DX1.72c1a8db-146c-4408-8d31-43baba769fdf.svs	03cdf2f30a1efeb671b4033de70af482	823821687	validated
